지번주소,Latitude,Longitude
서울특별시 강동구 고덕동 642-5번지,37.5598681,127.1537776
서울특별시 강동구 고덕동 646-8번지,37.5593744,127.1527736
서울특별시 강동구 고덕동 646-8번지,37.5593744,127.1527736
서울특별시 강동구 고덕동 157-7번지,37.5614081,127.1671931
서울특별시 강동구 고덕동 157-7번지,37.5614081,127.1671931
서울특별시 강동구 고덕동 290-1번지,37.5610383,127.1576614
서울특별시 강동구 고덕동 290-1번지,37.5610383,127.1576614
서울특별시 강동구 고덕동 290-1번지,37.5610383,127.1576614
서울특별시 강동구 천호동 111-20번지,37.5419316,127.1372955
서울특별시 강동구 천호동 111-20번지,37.5419316,127.1372955
서울특별시 강동구 천호동 111-20번지,37.5419316,127.1372955
서울특별시 성동구 사근동 219-2번지,37.5622099,127.0479357
서울특별시 성동구 사근동 219-2번지,37.5622099,127.0479357
서울특별시 성동구 사근동 219-2번지,37.5622099,127.0479357
서울특별시 성동구 사근동 219-2번지,37.5622099,127.0479357
서울특별시 성동구 사근동 219-2번지,37.5622099,127.0479357
서울특별시 성동구 사근동 219-2번지,37.5622099,127.0479357
서울특별시 성동구 사근동 219-2번지,37.5622099,127.0479357
서울특별시 용산구 원효로2가 3-5번지,37.5372039,126.9656138
서울특별시 용산구 원효로2가 3-5번지,37.5372039,126.9656138
서울특별시 용산구 한강로2가 82-2번지,37.530777,126.9710773
서울특별시 마포구 서교동 326-13번지,37.5553896,126.9299658
서울특별시 마포구 서교동 326-13번지,37.5553896,126.9299658
서울특별시 마포구 서교동 330-26번지,37.5564836,126.9273369
서울특별시 마포구 서교동 330-26번지,37.5564836,126.9273369
서울특별시 마포구 서교동 330-49번지,37.5563955,126.927194
서울특별시 마포구 서교동 330-49번지,37.5563955,126.927194
서울특별시 마포구 서교동 332-7번지,37.5556622,126.9265726
서울특별시 마포구 서교동 333-13번지,37.5550479,126.9268168
서울특별시 마포구 서교동 333-13번지,37.5550479,126.9268168
서울특별시 마포구 서교동 333-28번지,37.5554883,126.9266744
서울특별시 서대문구 천연동 120-26번지,37.5675452,126.9606532
서울특별시 마포구 서교동 333-29번지,37.5556245,126.9267936
서울특별시 구로구 고척동 224-4번지,37.5070529,126.8537038
서울특별시 마포구 서교동 346-7번지,37.5554487,126.9241479
서울특별시 구로구 고척동 224-4번지,37.5070529,126.8537038
서울특별시 마포구 서교동 346-7번지,37.5554487,126.9241479
서울특별시 구로구 고척동 273-10번지,37.5009442,126.851367
서울특별시 마포구 서교동 346-7번지,37.5554487,126.9241479
서울특별시 구로구 고척동 273-10번지,37.5009442,126.851367
서울특별시 구로구 고척동 273-49번지,37.5001888,126.8521071
서울특별시 구로구 고척동 273-49번지,37.5001888,126.8521071
서울특별시 강남구 일원동 676-8번지,37.4913585,127.0830906
서울특별시 강남구 일원동 676-8번지,37.4913585,127.0830906
서울특별시 강남구 일원동 676-8번지,37.4913585,127.0830906
서울특별시 성동구 송정동 66-16번지,37.5498634,127.0651021
서울특별시 성동구 용답동 12-17번지,37.5636263,127.0538183
서울특별시 서초구 서초동 1484-15번지,37.4829289,127.0108183
서울특별시 서초구 서초동 1484-15번지,37.4829289,127.0108183
서울특별시 서초구 서초동 1487-198번지,37.4803107,127.0067435
서울특별시 서초구 서초동 1520-1번지,37.4858895,127.0064506
서울특별시 서초구 서초동 1520-1번지,37.4858895,127.0064506
서울특별시 서초구 서초동 1520-1번지,37.4858895,127.0064506
서울특별시 서초구 서초동 1552-12번지,37.4911825,127.0093158
서울특별시 서초구 서초동 1552-12번지,37.4911825,127.0093158
서울특별시 서초구 서초동 1552-12번지,37.4911825,127.0093158
서울특별시 서초구 서초동 1567-4번지,37.490346,127.0129258
서울특별시 서초구 잠원동 32-2번지,37.5132472,127.0158118
서울특별시 서초구 잠원동 48-2번지,37.5115046,127.0161598
서울특별시 서초구 잠원동 48-2번지,37.5115046,127.0161598
서울특별시 서초구 잠원동 48-2번지,37.5115046,127.0161598
서울특별시 서초구 반포동 738-28번지,37.5053458,127.0224488
서울특별시 성동구 용답동 12-17번지,37.5636263,127.0538183
서울특별시 성동구 용답동 13-11번지,37.5639165,127.0539066
서울특별시 성동구 용답동 139-7번지,37.5672682,127.0495014
서울특별시 성동구 용답동 139-7번지,37.5672682,127.0495014
서울특별시 성동구 용답동 158-5번지,37.5651468,127.050103
서울특별시 성동구 용답동 158-5번지,37.5651468,127.050103
서울특별시 성동구 용답동 72-4번지,37.5661557,127.0527445
서울특별시 성동구 용답동 72-4번지,37.5661557,127.0527445
서울특별시 성동구 용답동 72-6번지,37.5660002,127.0529625
서울특별시 성동구 용답동 72-6번지,37.5660002,127.0529625
서울특별시 성동구 용답동 72-7번지,37.5659377,127.0528897
서울특별시 성동구 용답동 72-9번지,37.566036,127.052708
서울특별시 성동구 용답동 72-9번지,37.566036,127.052708
서울특별시 성동구 용답동 8-1번지,37.5640286,127.0554386
서울특별시 성동구 용답동 8-1번지,37.5640286,127.0554386
서울특별시 성동구 용답동 8-8번지,37.5638386,127.055192
서울특별시 성동구 용답동 8-8번지,37.5638386,127.055192
서울특별시 성동구 용답동 84-5번지,37.5650894,127.0515462
서울특별시 강남구 역삼동 792-40번지,37.4939939,127.0371026
서울특별시 강남구 역삼동 792-40번지,37.4939939,127.0371026
서울특별시 강남구 역삼동 724-28번지,37.4990777,127.0421138
서울특별시 강남구 역삼동 724-28번지,37.4990777,127.0421138
서울특별시 강남구 도곡동 902-77번지,37.4867356,127.0385465
서울특별시 강남구 도곡동 902-77번지,37.4867356,127.0385465
서울특별시 강남구 일원동 637-9번지,37.4939765,127.0857233
서울특별시 강남구 일원동 637-9번지,37.4939765,127.0857233
서울특별시 강남구 일원동 637-9번지,37.4939765,127.0857233
서울특별시 강남구 일원동 638-13번지,37.4943781,127.0855249
서울특별시 강남구 일원동 638-13번지,37.4943781,127.0855249
서울특별시 강남구 일원동 655-5번지,37.4918141,127.08575
서울특별시 강남구 일원동 655-5번지,37.4918141,127.08575
서울특별시 강남구 일원동 655-5번지,37.4918141,127.08575
서울특별시 강남구 일원동 657-6번지,37.4917497,127.0855096
서울특별시 양천구 신정동 1155-25번지,37.5159254,126.8512299
서울특별시 양천구 신정동 1191-16번지,37.5210486,126.8515368
서울특별시 양천구 신정동 1194-1번지,37.521959,126.8470748
서울특별시 양천구 신정동 1194-1번지,37.521959,126.8470748
서울특별시 양천구 신정동 978-5번지,37.5220865,126.8574319
서울특별시 양천구 신정동 978-5번지,37.5220865,126.8574319
서울특별시 양천구 신정동 978-6번지,37.522103,126.8575742
서울특별시 양천구 신정동 979-20번지,37.5222963,126.8576636
서울특별시 양천구 신정동 979-4번지,37.5223955,126.8569164
서울특별시 도봉구 창동 607-24번지,37.6433461,127.0397014
서울특별시 강동구 암사동 433-110번지,37.5509582,127.1377347
서울특별시 강동구 암사동 433-110번지,37.5509582,127.1377347
서울특별시 강동구 암사동 433-110번지,37.5509582,127.1377347
서울특별시 강동구 암사동 433-119번지,37.5510652,127.1377363
서울특별시 강동구 암사동 433-119번지,37.5510652,127.1377363
서울특별시 강동구 암사동 433-119번지,37.5510652,127.1377363
서울특별시 강동구 암사동 469-15번지,37.5519256,127.1319351
서울특별시 강동구 암사동 469-15번지,37.5519256,127.1319351
서울특별시 강동구 암사동 494-38번지,37.5503955,127.1301972
서울특별시 강동구 천호동 337-82번지,37.5435184,127.1214379
서울특별시 성동구 용답동 3-13번지,37.5643692,127.0548675
서울특별시 성동구 용답동 3-13번지,37.5643692,127.0548675
서울특별시 성동구 용답동 3-16번지,37.5643068,127.0545904
서울특별시 성동구 용답동 45-5번지,37.5629031,127.0531328
서울특별시 구로구 온수동 61-23번지,37.4921861,126.8199937
서울특별시 성동구 용답동 46-20번지,37.5629128,127.0529642
서울특별시 구로구 온수동 61-23번지,37.4921861,126.8199937
서울특별시 성동구 용답동 46-21번지,37.5629736,127.0530363
서울특별시 구로구 구로동 466-17번지,37.4952769,126.8819213
서울특별시 성동구 용답동 49-10번지,37.5635663,127.052186
서울특별시 구로구 구로동 88-3번지,37.4936652,126.8892481
서울특별시 성동구 용답동 49-10번지,37.5635663,127.052186
서울특별시 구로구 구로동 88-3번지,37.4936652,126.8892481
서울특별시 구로구 개봉동 115-48번지,37.5052022,126.8455843
서울특별시 성동구 용답동 6-10번지,37.5639033,127.0556113
서울특별시 구로구 개봉동 118-31번지,37.504221,126.8468376
